Source,Pathway,Sub-pathway,Product,Electricity,Steam,Heat,Hydrogen,CO2 Captured,CO2 Capture Process,H2 Production,CO2 Conversion,End Use,Net
Low Carbon,CO2 Mineralization,WMC,CWM - WMC,1,1,1,1,-1,0.007,0,0.007,0,-0.986
Intermediate,CO2 Mineralization,WMC,CWM - WMC,5,1,1,1,-1,0.0935,0,0.0745,0,-0.832
Base Case,CO2 Mineralization,WMC,CWM - WMC,10,1,1,1,-1,0.18,0,0.142,0,-0.678
,CO2 Mineralization,WMC,CWM - WMC,1,5,1,1,-1,0.0935,0,0.0745,0,-0.832
,CO2 Mineralization,WMC,CWM - WMC,1,10,1,1,-1,0.18,0,0.142,0,-0.678
,CO2 Mineralization,WMC,CWM - WMC,1,1,5,1,-1,0.0935,0,0.0745,0,-0.832
,CO2 Mineralization,WMC,CWM - WMC,1,1,10,1,-1,0.18,0,0.142,0,-0.678
,CO2 Mineralization,WMC,CWM - WMC,1,1,1,5,-1,0.0935,0,0.0745,0,-0.832
,CO2 Mineralization,WMC,CWM - WMC,1,1,1,10,-1,0.18,0,0.142,0,-0.678
Low Carbon,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,1,1,1,-1,0.007,0,0.013,0,-0.98
Intermediate,CO2 Mineralization,DMC-W,Calcite - DMC-W,5,1,1,1,-1,0.0935,0,0.131,0,-0.7755
Base Case,CO2 Mineralization,DMC-W,Calcite - DMC-W,10,1,1,1,-1,0.18,0,0.249,0,-0.571
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,5,1,1,-1,0.0935,0,0.131,0,-0.7755
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,10,1,1,-1,0.18,0,0.249,0,-0.571
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,1,5,1,-1,0.0935,0,0.131,0,-0.7755
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,1,10,1,-1,0.18,0,0.249,0,-0.571
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,1,1,5,-1,0.0935,0,0.131,0,-0.7755
,CO2 Mineralization,DMC-W,Calcite - DMC-W,1,1,1,10,-1,0.18,0,0.249,0,-0.571
Low Carbon,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,1,1,1,-1,0.007,0,0.027,0,-0.966
Intermediate,CO2 Mineralization,DMC-S,Magnesite - DMC-S,5,1,1,1,-1,0.0935,0,0.1765,0,-0.73
Base Case,CO2 Mineralization,DMC-S,Magnesite - DMC-S,10,1,1,1,-1,0.18,0,0.326,0,-0.494
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,5,1,1,-1,0.0935,0,0.1765,0,-0.73
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,10,1,1,-1,0.18,0,0.326,0,-0.494
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,1,5,1,-1,0.0935,0,0.1765,0,-0.73
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,1,10,1,-1,0.18,0,0.326,0,-0.494
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,1,1,5,-1,0.0935,0,0.1765,0,-0.73
,CO2 Mineralization,DMC-S,Magnesite - DMC-S,1,1,1,10,-1,0.18,0,0.326,0,-0.494
Low Carbon,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,1,1,1,-1,0.007,0,0.027,0,-0.966
Intermediate,CO2 Mineralization,IMC-S,Magnesite - IMC-S,5,1,1,1,-1,0.0935,0,0.2115,0,-0.695
Base Case,CO2 Mineralization,IMC-S,Magnesite - IMC-S,10,1,1,1,-1,0.18,0,0.396,0,-0.424
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,5,1,1,-1,0.0935,0,0.2115,0,-0.695
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,10,1,1,-1,0.18,0,0.396,0,-0.424
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,1,5,1,-1,0.0935,0,0.2115,0,-0.695
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,1,10,1,-1,0.18,0,0.396,0,-0.424
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,1,1,5,-1,0.0935,0,0.2115,0,-0.695
,CO2 Mineralization,IMC-S,Magnesite - IMC-S,1,1,1,10,-1,0.18,0,0.396,0,-0.424
Low Carbon,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,1,1,1,-1,0.007,0,0.023,0,-0.97
Intermediate,CO2 Mineralization,DMC-O,Magnesite - DMC-O,5,1,1,1,-1,0.0935,0,0.2455,0,-0.661
Base Case,CO2 Mineralization,DMC-O,Magnesite - DMC-O,10,1,1,1,-1,0.18,0,0.468,0,-0.352
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,5,1,1,-1,0.0935,0,0.2455,0,-0.661
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,10,1,1,-1,0.18,0,0.468,0,-0.352
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,1,5,1,-1,0.0935,0,0.2455,0,-0.661
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,1,10,1,-1,0.18,0,0.468,0,-0.352
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,1,1,5,-1,0.0935,0,0.2455,0,-0.661
,CO2 Mineralization,DMC-O,Magnesite - DMC-O,1,1,1,10,-1,0.18,0,0.468,0,-0.352
Low Carbon,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,1,1,1,-1,0.007,0,-0.07,0.218,-0.844
Intermediate,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,5,1,1,1,-1,0.0935,0,0.14,0,-0.548
Base Case,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,10,1,1,1,-1,0.18,0,0.35,0.218,-0.252
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,5,1,1,-1,0.0935,0,0.14,0,-0.548
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,10,1,1,-1,0.18,0,0.35,0.218,-0.252
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,1,5,1,-1,0.0935,0,0.14,0,-0.548
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,1,10,1,-1,0.18,0,0.35,0.218,-0.252
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,1,1,5,-1,0.0935,0,0.14,0,-0.548
,CO2 Bioconversion,P-WE,Jet-Fuel - P-WE,1,1,1,10,-1,0.18,0,0.35,0.218,-0.252
Low Carbon,CO2 Bioconversion,P-WE,Diesel - P-WE,1,1,1,1,-1,0.007,0,0.007,0.87,-0.117
Intermediate,CO2 Bioconversion,P-WE,Diesel - P-WE,5,1,1,1,-1,0.0935,0,0.0595,0,0.0225
Base Case,CO2 Bioconversion,P-WE,Diesel - P-WE,10,1,1,1,-1,0.18,0,0.112,0.87,0.162
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,5,1,1,-1,0.0935,0,0.0595,0,0.0225
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,10,1,1,-1,0.18,0,0.112,0.87,0.162
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,1,5,1,-1,0.0935,0,0.0595,0,0.0225
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,1,10,1,-1,0.18,0,0.112,0.87,0.162
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,1,1,5,-1,0.0935,0,0.0595,0,0.0225
,CO2 Bioconversion,P-WE,Diesel - P-WE,1,1,1,10,-1,0.18,0,0.112,0.87,0.162
Low Carbon,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,1,1,1,-1,0.007,0,0.246,0.362,-0.385
Intermediate,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,5,1,1,1,-1,0.0935,0,0.4195,0,-0.125
Base Case,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,10,1,1,1,-1,0.18,0,0.593,0.362,0.135
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,5,1,1,-1,0.0935,0,0.4195,0,-0.125
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,10,1,1,-1,0.18,0,0.593,0.362,0.135
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,1,5,1,-1,0.0935,0,0.4195,0,-0.125
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,1,10,1,-1,0.18,0,0.593,0.362,0.135
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,1,1,5,-1,0.0935,0,0.4195,0,-0.125
,CO2 Bioconversion,PBR-DE,Diesel - PBR-DE,1,1,1,10,-1,0.18,0,0.593,0.362,0.135
Low Carbon,CO2 Bioconversion,P-DE,Diesel - P-DE,1,1,1,1,-1,0.007,0,0.062,0.553,-0.378
Intermediate,CO2 Bioconversion,P-DE,Diesel - P-DE,5,1,1,1,-1,0.0935,0,0.41,0,0.056
Base Case,CO2 Bioconversion,P-DE,Diesel - P-DE,10,1,1,1,-1,0.18,0,0.758,0.553,0.49
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,5,1,1,-1,0.0935,0,0.41,0,0.056
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,10,1,1,-1,0.18,0,0.758,0.553,0.49
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,1,5,1,-1,0.0935,0,0.41,0,0.056
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,1,10,1,-1,0.18,0,0.758,0.553,0.49
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,1,1,5,-1,0.0935,0,0.41,0,0.056
,CO2 Bioconversion,P-DE,Diesel - P-DE,1,1,1,10,-1,0.18,0,0.758,0.553,0.49
Low Carbon,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,1,1,1,-1,0.007,0,0.005,0.74,-0.248
Intermediate,CO2 Reduction involving light,P.CAT,Methane - P.CAT,5,1,1,1,-1,0.0935,0,0.05,0.74,-0.114
Base Case,CO2 Reduction involving light,P.CAT,Methane - P.CAT,10,1,1,1,-1,0.18,0,0.095,0.74,0.02
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,5,1,1,-1,0.0935,0,0.05,0.74,-0.114
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,10,1,1,-1,0.18,0,0.095,0.74,0.02
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,1,5,1,-1,0.0935,0,0.05,0.74,-0.114
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,1,10,1,-1,0.18,0,0.095,0.74,0.02
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,1,1,5,-1,0.0935,0,0.05,0.74,-0.114
,CO2 Reduction involving light,P.CAT,Methane - P.CAT,1,1,1,10,-1,0.18,0,0.095,0.74,0.02
Low Carbon,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,1,1,1,-1,0.007,0,0.015,0.85,-0.128
Intermediate,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,10,1,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction involving light,P.CAT,Methanol - P.CAT,1,1,1,10,-1,0.18,0,0.31,0.85,0.35
Low Carbon,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,1,1,1,-1,0.007,0.307,0.635,0.93,0.879
Intermediate,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,10,1,1,1,-1,0.18,0.307,0.854,0.93,1.271
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR,DME - DMR,1,1,1,10,-1,0.18,0,0.31,0.85,0.35
Low Carbon,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,1,1,1,-1,0.007,0,2.187,0.652,1.846
Intermediate,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,10,1,1,1,-1,0.18,0,2.731,0.652,2.564
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-CO,Methanol - DMR-CO,1,1,1,10,-1,0.18,0,0.31,0.85,0.35
Low Carbon,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,1,1,1,-1,0.007,0.094,1.085,1.434,1.62
Intermediate,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,10,1,1,1,-1,0.18,1.014,2.211,1.434,3.839
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Reduction by Hydrocarbon,DMR-H2,Methanol - DMR-H2,1,1,1,10,-1,0.18,0,0.31,0.85,0.35
Low Carbon,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,1,1,1,-1,0.007,0,0.098,1.263,0.368
Intermediate,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,10,1,1,1,-1,0.18,0,1.023,1.263,1.466
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Conversion by other reagents,CHEM.I,DMC - CHEM.I,1,1,1,10,-1,0.18,0,0.31,0.85,0.35
Low Carbon,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,1,1,1,-1,0,0,0,0,0
Intermediate,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,5,1,1,1,-1,0.0935,0,0.1625,0.85,0.111
Base Case,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,10,1,1,1,-1,0.18,0,1.865,0.005,1.857
,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,5,1,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,10,1,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,1,5,1,-1,0.0935,0,0.1625,0.85,0.111
,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,1,10,1,-1,0.18,0,0.31,0.85,0.35
,CO2 Conversion by other reagents,EL-CHEM.I,DMC - EL-CHEM.I,1,1,1,5,-1,0.0935,0,0.1625,0.85,0.111
